index,cls,afs5_3,afs7_3,afs9_3,afs5_4,afs7_4,afs9_4,afs5_5,afs7_5,afs9_5,cnt,ar5_3,ar7_3,ar9_3,ar5_4,ar7_4,ar9_4,ar5_5,ar7_5,ar9_5,kpi5_3,kpi7_3,kpi9_3,kpi5_4,kpi7_4,kpi9_4,kpi5_5,kpi7_5,kpi9_5
100,42153,504,707,933,311,435,568,219,298,390,972,0.52,0.73,0.96,0.32,0.45,0.58,0.23,0.31,0.4,70.87,275.04,825.46,10.19,39.64,110.82,2.66,8.88,24.96
101,4231,9572,14168,18686,6299,9345,12315,4507,6638,8685,18664,0.51,0.76,1,0.34,0.5,0.66,0.24,0.36,0.47,1269.74,6219.41,18686,247.58,1168.13,3540.51,62.3,309.7,901.7
102,42315,1130,1513,1841,756,1007,1219,531,696,837,1237,0.91,1.22,1.49,0.61,0.81,0.99,0.43,0.56,0.68,851.54,2747.38,6089.93,171.6,535.16,1182.79,42.22,122.23,263.18
103,42513,254,355,444,174,243,308,135,191,240,364,0.7,0.98,1.22,0.48,0.67,0.85,0.37,0.52,0.66,87.12,334.12,806.24,19.24,73.09,189.15,6.84,26.86,69
104,42531,593,834,1055,387,523,663,264,362,449,1330,0.45,0.63,0.79,0.29,0.39,0.5,0.2,0.27,0.34,54.04,208.54,520.16,9.44,31.02,82.88,2.11,7.13,17.65
105,4312,13525,19817,26369,8460,12462,16675,5752,8550,11514,29453,0.46,0.67,0.9,0.29,0.42,0.57,0.2,0.29,0.39,1316.47,5960.22,19223,206.33,923.28,3088.09,46.02,208.53,683
106,43125,2659,3579,4438,1597,2164,2632,1078,1477,1771,3246,0.82,1.1,1.37,0.49,0.67,0.81,0.33,0.46,0.55,1466.09,4763.65,11411.66,187.89,650.85,1398.75,38.74,143.77,294.65
107,43152,273,388,533,182,269,360,140,205,274,544,0.5,0.71,0.98,0.33,0.49,0.66,0.26,0.38,0.5,34.13,138.87,501.66,6.54,31.65,103.5,2.46,11.25,34.25
108,4321,27776,40901,55333,17264,25674,34956,12101,17981,24540,63438,0.44,0.64,0.87,0.27,0.4,0.55,0.19,0.28,0.39,2366.07,10721.95,36436.95,339.81,1643.14,5815.8,83,394.72,1455.69
109,43215,2233,2963,3569,1526,2027,2388,1066,1417,1655,2509,0.89,1.18,1.42,0.61,0.81,0.95,0.42,0.56,0.66,1574.2,4868.3,10219.07,346.37,1077.23,2047.41,78.98,248.85,475.81
110,43251,251,355,467,142,206,279,104,146,185,577,0.44,0.62,0.81,0.25,0.36,0.48,0.18,0.25,0.32,21.38,84.61,248.18,2.22,9.61,30.86,0.61,2.28,6.06
111,43512,506,748,956,320,461,590,238,345,433,1010,0.5,0.74,0.95,0.32,0.46,0.58,0.24,0.34,0.43,63.25,303.11,819.65,10.49,44.87,115.12,3.29,13.56,34.43
112,43521,1032,1416,1805,590,816,1072,388,532,712,2596,0.4,0.55,0.7,0.23,0.31,0.41,0.15,0.2,0.27,66.05,235.59,619.12,7.18,24.31,73.88,1.31,4.26,14.01
113,45123,1086,1479,1911,660,916,1214,439,608,822,2038,0.53,0.73,0.94,0.32,0.45,0.6,0.22,0.3,0.4,161.68,575.36,1587.25,21.63,83.47,262.22,4.67,16.42,52.61
114,45132,608,868,1155,397,570,774,299,423,570,1185,0.51,0.73,0.97,0.34,0.48,0.65,0.25,0.36,0.48,80.65,337.67,1054.14,15.6,63.04,212.56,4.67,19.74,63.04
115,45213,1860,2593,3312,1076,1492,1891,725,996,1266,3214,0.58,0.81,1.03,0.33,0.46,0.59,0.23,0.31,0.39,362.91,1378.03,3619.11,38.67,145.23,388.37,8.82,29.67,75.1
